item_id,genre,author,keywords
item1,Thriller,Kimberly Lopez,"crime, excitement"
item2,Fantasy,Mrs. Michelle Bailey,"magic, adventure"
item3,Mystery,Shari Garrett,"ghosts, fear"
item4,Science Fiction,Yvonne Ramsey,"magic, adventure"
item5,Fantasy,Ryan Mclaughlin,"crime, excitement"
item6,Mystery,Shari Garrett,"magic, adventure"
item7,Science Fiction,Mrs. Michelle Bailey,"love, drama"
item8,Romance,Shari Garrett,"crime, excitement"
item9,Science Fiction,Katherine Holloway,"detective, suspense"
item10,Mystery,Wesley Chen,"love, drama"
item11,Mystery,Christy Donovan,"ghosts, fear"
item12,Romance,Kimberly Lopez,"love, drama"
item13,Fantasy,Yvonne Ramsey,"detective, suspense"
item14,Thriller,Courtney Lara,"crime, excitement"
item15,Romance,Jill Mcneil,"detective, suspense"
item16,Science Fiction,Shari Garrett,"magic, adventure"
item17,Horror,Mrs. Michelle Bailey,"ghosts, fear"
item18,Thriller,Mathew Nelson,"crime, excitement"
item19,Romance,Christy Donovan,"space, aliens"
item20,Mystery,Mathew Nelson,"magic, adventure"
item21,Fantasy,Katherine Holloway,"space, aliens"
item22,Fantasy,Katherine Holloway,"love, drama"
item23,Fantasy,Courtney Lara,"space, aliens"
item24,Romance,Kimberly Lopez,"love, drama"
item25,Fantasy,Christine Anderson,"ghosts, fear"
item26,Horror,Ryan Mclaughlin,"crime, excitement"
item27,Science Fiction,Katherine Holloway,"detective, suspense"
item28,Fantasy,Ashley Juarez,"space, aliens"
item29,Romance,Jill Mcneil,"space, aliens"
item30,Horror,Shari Garrett,"detective, suspense"
item31,Thriller,Shari Garrett,"space, aliens"
item32,Mystery,Mathew Nelson,"magic, adventure"
item33,Romance,Terry Curtis,"ghosts, fear"
item34,Mystery,Katherine Holloway,"ghosts, fear"
item35,Romance,Daniel Bennett,"ghosts, fear"
item36,Mystery,Terry Curtis,"crime, excitement"
item37,Romance,Wesley Chen,"magic, adventure"
item38,Horror,Mathew Nelson,"ghosts, fear"
item39,Thriller,Cynthia Sweeney,"space, aliens"
item40,Horror,Yvonne Ramsey,"love, drama"
item41,Thriller,Terry Curtis,"detective, suspense"
item42,Thriller,Daniel Bennett,"magic, adventure"
item43,Science Fiction,Katherine Holloway,"detective, suspense"
item44,Thriller,Wesley Chen,"ghosts, fear"
item45,Fantasy,Kristine Valdez,"detective, suspense"
item46,Horror,Ryan Mclaughlin,"magic, adventure"
item47,Science Fiction,Wesley Chen,"ghosts, fear"
item48,Mystery,Christy Donovan,"detective, suspense"
item49,Romance,Jill Mcneil,"magic, adventure"
item50,Horror,Christy Donovan,"ghosts, fear"
